==========================================================================================
肘部位置约束训练
==========================================================================================
改进:
  1. 同时约束肘部位置 (weight=0.3)
  2. 同时约束末端位置 (weight=0.7)
  3. 提高中间关节精度

加载ACCAD+CMU数据集...
加载窗口化数据集: /data0/wwb_data/ygx_data/data_ygx_pose+dof/ACCAD_CMU_merged_training_data.npz
  样本数: 3614699
  窗口大小: 10
  输入维度（机器人角度）: 7
  输出维度（人位姿+机器人角度）: 14
加载窗口化数据集: /data0/wwb_data/ygx_data/data_ygx_pose+dof/ACCAD_CMU_merged_training_data.npz
  样本数: 3614699
  窗口大小: 10
  输入维度（机器人角度）: 7
  输出维度（人位姿+机器人角度）: 14
训练集样本数: 3253229
验证集样本数: 361470
训练集数据增强: False
验证集数据增强: False（始终关闭）

创建模型: elbow_constraint_ik
模型参数量: 1.47M

加载FK模型（支持肘部位置计算）...

开始训练（300 epochs）...
==========================================================================================
 Epoch |  Train Loss |    Val Loss |  Elbow(mm) |    End(mm) |  IK RMSE(°) |   Val R² |        LR
    29 |    0.020092 |    0.022115 |      28.64 |      42.48 |        8.43 |   0.9038 |  0.001592
    30 |    0.019419 |    0.021807 |      28.35 |      42.12 |        8.37 |   0.9052 |  0.001553
    31 |    0.019036 |    0.020097 |      27.83 |      41.24 |        8.04 |   0.9127 |  0.001513
    32 |    0.018595 |    0.022279 |      28.73 |      42.51 |        8.46 |   0.9031 |  0.001473
    33 |    0.018183 |    0.018762 |      27.04 |      40.30 |        7.76 |   0.9185 |  0.001431
    34 |    0.017764 |    0.018745 |      27.27 |      40.47 |        7.76 |   0.9186 |  0.001388
    35 |    0.017422 |    0.018744 |      27.02 |      39.89 |        7.76 |   0.9185 |  0.001344
    36 |    0.016978 |    0.018482 |      26.80 |      39.63 |        7.70 |   0.9197 |  0.001300
    37 |    0.016637 |    0.019171 |      27.29 |      40.73 |        7.85 |   0.9167 |  0.001255
    38 |    0.016281 |    0.017932 |      26.42 |      39.43 |        7.59 |   0.9221 |  0.001209
    39 |    0.015915 |    0.017583 |      26.24 |      39.12 |        7.51 |   0.9236 |  0.001163
    40 |    0.015585 |    0.017381 |      26.41 |      39.30 |        7.47 |   0.9245 |  0.001117
    41 |    0.015270 |    0.016751 |      25.90 |      38.47 |        7.33 |   0.9273 |  0.001070
    42 |    0.014903 |    0.016850 |      26.03 |      38.72 |        7.36 |   0.9268 |  0.001023
    43 |    0.014589 |    0.016424 |      25.54 |      38.15 |        7.26 |   0.9287 |  0.000977
    44 |    0.014320 |    0.015885 |      25.37 |      37.76 |        7.14 |   0.9310 |  0.000930
    45 |    0.013971 |    0.015660 |      25.26 |      37.62 |        7.09 |   0.9320 |  0.000883
    46 |    0.013659 |    0.015558 |      25.14 |      37.43 |        7.07 |   0.9325 |  0.000837
    47 |    0.013443 |    0.015229 |      24.90 |      36.99 |        6.99 |   0.9339 |  0.000791
    48 |    0.013137 |    0.015014 |      24.94 |      36.89 |        6.94 |   0.9348 |  0.000745
    49 |    0.012875 |    0.014975 |      24.73 |      36.88 |        6.93 |   0.9350 |  0.000700
    50 |    0.012603 |    0.014545 |      24.59 |      36.50 |        6.83 |   0.9369 |  0.000656
    51 |    0.012387 |    0.014578 |      24.49 |      36.50 |        6.84 |   0.9367 |  0.000612
    52 |    0.012188 |    0.013902 |      24.16 |      35.96 |        6.68 |   0.9397 |  0.000569
    53 |    0.011928 |    0.013633 |      23.96 |      35.58 |        6.61 |   0.9409 |  0.000527
    54 |    0.011758 |    0.013416 |      23.85 |      35.44 |        6.56 |   0.9418 |  0.000487
    55 |    0.011509 |    0.013342 |      23.77 |      35.32 |        6.54 |   0.9421 |  0.000447
    56 |    0.011343 |    0.013493 |      23.82 |      35.39 |        6.58 |   0.9415 |  0.000408
    57 |    0.011165 |    0.013003 |      23.56 |      35.00 |        6.46 |   0.9436 |  0.000371
    58 |    0.010974 |    0.012859 |      23.48 |      34.83 |        6.42 |   0.9442 |  0.000336
    59 |    0.010831 |    0.013265 |      23.64 |      35.17 |        6.52 |   0.9425 |  0.000301
    60 |    0.010688 |    0.012670 |      23.33 |      34.65 |        6.37 |   0.9451 |  0.000268
    61 |    0.010539 |    0.012492 |      23.25 |      34.43 |        6.33 |   0.9458 |  0.000237
    62 |    0.010418 |    0.012444 |      23.18 |      34.37 |        6.32 |   0.9460 |  0.000208
    63 |    0.010304 |    0.012371 |      23.10 |      34.21 |        6.30 |   0.9464 |  0.000180
    64 |    0.010193 |    0.012231 |      23.04 |      34.09 |        6.26 |   0.9470 |  0.000154
    65 |    0.010091 |    0.012188 |      22.98 |      34.04 |        6.25 |   0.9472 |  0.000130
    66 |    0.010007 |    0.012114 |      22.92 |      33.95 |        6.23 |   0.9475 |  0.000108
    67 |    0.009923 |    0.012058 |      22.88 |      33.88 |        6.22 |   0.9477 |  0.000088
    68 |    0.009850 |    0.012001 |      22.82 |      33.81 |        6.20 |   0.9480 |  0.000070
    69 |    0.009786 |    0.011957 |      22.82 |      33.76 |        6.19 |   0.9482 |  0.000053
    70 |    0.009732 |    0.011928 |      22.76 |      33.70 |        6.18 |   0.9483 |  0.000039
    71 |    0.009686 |    0.011897 |      22.76 |      33.69 |        6.17 |   0.9484 |  0.000027
    72 |    0.009646 |    0.011881 |      22.75 |      33.66 |        6.17 |   0.9485 |  0.000018
    73 |    0.009613 |    0.011856 |      22.72 |      33.63 |        6.16 |   0.9486 |  0.000010
    74 |    0.009588 |    0.011856 |      22.72 |      33.63 |        6.16 |   0.9486 |  0.000004
    75 |    0.009569 |    0.011841 |      22.71 |      33.61 |        6.16 |   0.9487 |  0.000001
    76 |    0.009558 |    0.011840 |      22.71 |      33.61 |        6.16 |   0.9487 |  0.000000
==========================================================================================
训练完成!
最优验证损失: 0.011840 (epoch 76)
模型保存至: /home/bonuli/Pieper/pieper1802/elbow_constraint_ik.pth
