======================================================================
训练 Pieper 准则因果IK模型
======================================================================
核心特性:
  1. Attention学习关节对末端位姿的影响权重
  2. 分别对位置和姿态做FiLM调制
  3. GNN学习关节间因果耦合

加载数据集...
加载窗口化数据集: /home/wsy/Desktop/casual/merged_training_data.npz
  样本数: 3541118
  窗口大小: 10
  输入维度（位姿）: 7
  输出维度（角度）: 7
加载窗口化数据集: /home/wsy/Desktop/casual/merged_training_data.npz
  样本数: 3541118
  窗口大小: 10
  输入维度（位姿）: 7
  输出维度（角度）: 7
训练集样本数: 3187006
验证集样本数: 354112
训练集数据增强: False
验证集数据增强: False（始终关闭）

创建模型: pieper_causal_ik
模型参数量: 2.58M

加载GPU FK模型（用于计算末端位姿）...
✓ 成功加载GPU FK模型
  左臂关节 ID: [16, 17, 18, 19, 20, 21, 22]
加载断点...
从第70 epoch继续

开始训练（300 epochs）...
Epoch [105/300] | Train Loss: 0.000011 | Val Loss: 0.000011 | Train R²: 0.999654 | Val R²: 0.999675 | IK: 0.0001 | FK: 0.000004 | GAP: 0.0001 | LR: 0.000846 | Time: 46.9s
Epoch [106/300] | Train Loss: 0.000011 | Val Loss: 0.000010 | Train R²: 0.999656 | Val R²: 0.999680 | IK: 0.0001 | FK: 0.000004 | GAP: 0.0001 | LR: 0.000837 | Time: 47.1s
Epoch [107/300] | Train Loss: 0.000010 | Val Loss: 0.000010 | Train R²: 0.999656 | Val R²: 0.999673 | IK: 0.0001 | FK: 0.000004 | GAP: 0.0001 | LR: 0.000829 | Time: 47.3s
Epoch [108/300] | Train Loss: 0.000010 | Val Loss: 0.000011 | Train R²: 0.999656 | Val R²: 0.999664 | IK: 0.0001 | FK: 0.000004 | GAP: 0.0001 | LR: 0.000821 | Time: 47.1s
Epoch [109/300] | Train Loss: 0.000010 | Val Loss: 0.000013 | Train R²: 0.999657 | Val R²: 0.999657 | IK: 0.0001 | FK: 0.000004 | GAP: 0.0001 | LR: 0.000812 | Time: 46.9s
Epoch [110/300] | Train Loss: 0.000010 | Val Loss: 0.000009 | Train R²: 0.999657 | Val R²: 0.999679 | IK: 0.0001 | FK: 0.000004 | GAP: 0.0001 | LR: 0.000803 | Time: 47.1s
Epoch [111/300] | Train Loss: 0.000010 | Val Loss: 0.000010 | Train R²: 0.999656 | Val R²: 0.999672 | IK: 0.0001 | FK: 0.000004 | GAP: 0.0001 | LR: 0.000794 | Time: 47.1s
Epoch [112/300] | Train Loss: 0.000010 | Val Loss: 0.000010 | Train R²: 0.999657 | Val R²: 0.999679 | IK: 0.0001 | FK: 0.000004 | GAP: 0.0001 | LR: 0.000785 | Time: 47.1s
Epoch [113/300] | Train Loss: 0.000010 | Val Loss: 0.000009 | Train R²: 0.999656 | Val R²: 0.999685 | IK: 0.0001 | FK: 0.000004 | GAP: 0.0001 | LR: 0.000776 | Time: 47.0s
Epoch [114/300] | Train Loss: 0.000010 | Val Loss: 0.000010 | Train R²: 0.999658 | Val R²: 0.999671 | IK: 0.0001 | FK: 0.000004 | GAP: 0.0001 | LR: 0.000766 | Time: 47.0s
